User District,State,Total Enrollments,Total Completion,Total Certifications,Certification %
Amritsar,Punjab,24441,21386,21374,87.5%
Barnala,Punjab,2206,1802,1800,81.6%
Bathinda,Punjab,6061,5125,5120,84.5%
Faridkot,Punjab,3296,2830,2828,85.8%
Fatehgarh Sahib,Punjab,3671,3030,3028,82.5%
Fazilka,Punjab,4316,3680,3678,85.2%
Ferozepur,Punjab,4861,4231,4229,87.0%
Gurdaspur,Punjab,18831,17108,17106,90.8%
Hoshiarpur,Punjab,8014,7159,7158,89.3%
Jalandhar,Punjab,21792,19278,19263,88.4%
Kapurthala,Punjab,7827,7030,7030,89.8%
Ludhiana,Punjab,29391,25087,25026,85.1%
Mansa,Punjab,1281,1049,1044,81.5%
Moga,Punjab,1918,1566,1562,81.4%
Muktsar,Punjab,3346,2972,2971,88.8%
Pathankot,Punjab,6835,5946,5937,86.9%
Patiala,Punjab,16545,14303,14298,86.4%
Roopnagar,Punjab,2877,2509,2506,87.1%
S.B.S. Nagar,Punjab,3498,3199,3198,91.4%
Sangrur,Punjab,3734,2994,2992,80.1%
Sas Nagar,Punjab,10567,9107,9100,86.1%
Tarn Taran,Punjab,6715,6088,6085,90.6%
Ajmer,Rajasthan,11186,8367,8347,74.6%
Alwar,Rajasthan,10306,6979,6976,67.7%
Banswara,Rajasthan,8816,5570,5566,63.1%
Baran,Rajasthan,4115,2859,2855,69.4%
Barmer,Rajasthan,11363,7544,7539,66.3%
Bharatpur,Rajasthan,6017,4024,4020,66.8%
Bhilwara,Rajasthan,8513,5395,5394,63.4%
Bikaner,Rajasthan,7452,5598,5591,75.0%
Bundi,Rajasthan,3572,2289,2289,64.1%
Chittaurgarh,Rajasthan,7877,5461,5456,69.3%
Churu,Rajasthan,5387,3478,3478,64.6%
Dausa,Rajasthan,5422,3689,3683,67.9%
Dhaulpur,Rajasthan,2781,1811,1811,65.1%
Dungarpur,Rajasthan,7259,4743,4736,65.2%
Ganganagar,Rajasthan,7994,6189,6182,77.3%
Hanumangarh,Rajasthan,3910,2506,2506,64.1%
Jaipur,Rajasthan,32234,24676,24655,76.5%
Jaisalmer,Rajasthan,3552,2698,2698,76.0%
Jalor,Rajasthan,5428,3584,3581,66.0%
Jhalawar,Rajasthan,5073,3150,3148,62.1%
Jhunjhunu,Rajasthan,7885,5786,5782,73.3%
Jodhpur,Rajasthan,13290,10267,10255,77.2%
Karauli,Rajasthan,4011,2763,2760,68.8%
Kota,Rajasthan,6794,4654,4649,68.4%
Nagaur,Rajasthan,7265,4599,4587,63.1%
Pali,Rajasthan,5446,3395,3392,62.3%
Rajsamand,Rajasthan,5104,3303,3299,64.6%
Ramgarh,Rajasthan,4566,3298,3295,72.2%
Sawai Madhopur,Rajasthan,4581,3052,3051,66.6%
Sikar,Rajasthan,7525,5028,5019,66.7%
Sirohi,Rajasthan,3830,2640,2639,68.9%
Tonk,Rajasthan,5883,3934,3930,66.8%
Udaipur,Rajasthan,12749,8802,8796,69.0%
East Sikkim,Sikkim,3282,2945,2945,89.7%
North Sikkim,Sikkim,193,169,169,87.6%
South Sikkim,Sikkim,629,541,541,86.0%
West Sikkim,Sikkim,773,665,665,86.0%
Ariyalur,Tamil Nadu,95,56,56,58.9%
Chengalpattu,Tamil Nadu,4430,3940,3938,88.9%
