User District,State,Total Enrollments,Total Completion,Total Certifications,Certification %
Malkangiri,Orissa,9911,7468,6614,66.7%
Mayurbhanj,Orissa,23269,17181,15153,65.1%
Nayagarh,Orissa,9781,7561,7029,71.9%
Nuapada,Orissa,4400,3018,2469,56.1%
Puri,Orissa,19803,15820,14644,73.9%
Rayagada,Orissa,13250,9501,8214,62.0%
Sambalpur,Orissa,11181,8519,7355,65.8%
Karaikal,Pondicherry,2645,2135,1625,61.4%
Mahe,Pondicherry,1067,940,781,73.2%
Pondicherry,Pondicherry,9207,7597,6335,68.8%
Yanam,Pondicherry,1297,1161,967,74.6%
Amritsar,Punjab,25152,20347,17715,70.4%
Barnala,Punjab,9450,8194,7341,77.7%
Bathinda,Punjab,22492,19183,17425,77.5%
Faridkot,Punjab,4293,3406,3038,70.8%
Fatehgarh Sahib,Punjab,6762,5372,4708,69.6%
Fazilka,Punjab,36299,32894,30848,85.0%
Ferozepur,Punjab,13705,11794,10801,78.8%
Gurdaspur,Punjab,28494,24590,22081,77.5%
Hoshiarpur,Punjab,26365,22366,20340,77.1%
Jalandhar,Punjab,25890,20897,18123,70.0%
Kapurthala,Punjab,5435,4308,3826,70.4%
Ludhiana,Punjab,26883,19737,15983,59.5%
Mansa,Punjab,6812,5626,5072,74.5%
Moga,Punjab,16945,15111,14115,83.3%
Muktsar,Punjab,22058,19572,17921,81.2%
Pathankot,Punjab,7347,5879,5243,71.4%
Patiala,Punjab,19036,14346,11908,62.6%
Roopnagar,Punjab,4666,3802,3417,73.2%
S.B.S. Nagar,Punjab,4538,3562,3183,70.1%
Sangrur,Punjab,18714,15891,14369,76.8%
Sas Nagar,Punjab,9248,7120,6153,66.5%
Tarn Taran,Punjab,8900,7029,6068,68.2%
Ajmer,Rajasthan,77633,63529,54364,70.0%
Alwar,Rajasthan,107298,88571,75557,70.4%
Banswara,Rajasthan,57061,42111,31889,55.9%
Baran,Rajasthan,34581,25507,18272,52.8%
Barmer,Rajasthan,79907,61664,49339,61.7%
Bharatpur,Rajasthan,69282,57763,48594,70.1%
Bhilwara,Rajasthan,69642,54194,43100,61.9%
Bikaner,Rajasthan,58782,47494,40364,68.7%
Bundi,Rajasthan,33400,25777,19750,59.1%
Chittaurgarh,Rajasthan,49490,38425,30977,62.6%
Churu,Rajasthan,57237,46677,41290,72.1%
Dausa,Rajasthan,50353,40035,33333,66.2%
Dhaulpur,Rajasthan,29580,23224,18802,63.6%
Dungarpur,Rajasthan,45849,34478,24981,54.5%
